24361	CA AA AA AR RV VG GG GS SQ QG GN NL LI IF	CA AS SS SL LD DG GY YG GY YT TF	RAKFKQLL
23118	CA AV VS SN NT TG GN NQ QF FY YF	CA AS SS ST TT TP PE ET TQ QY YF	GILGFVFTL
23129	CA AA AM ME ET TS SY YD DK KV VI IF	CA AT TS SR RS SG GQ QG GE EK KL LF FF	RAKFKQLL
34749	CA AV VG GA AD DI IS SG GG GY YN NK KL LI IF	CA AS SS SL LA AL LG GG GP PG GA AN NV VL LT TF	KLGGALQAK
34890	CA AE ET TL LT TG GG GG GN NK KL LT TF	CA AS SK KG GR RS SG GV VG GE ET TQ QY YF	KLGGALQAK
24788	CA AM MK KS ST TN NA AG GK KS ST TF	CA AS SS SL LG GV VA AG GT TN NT TG GE EL LF FF	KLGGALQAK
5264	CA AM MS SG GD DG GG GS SQ QG GN NL LI IF	CQ QQ QQ QK KS SY YE EQ QY YF	GILGFVFTL
35820	CA AV VR RD DL LN ND DY YK KL LS SF	CA AS SS SE ED DR RD DG GN NT TI IY YF	KLGGALQAK
21046	CA AE ET TH HS SG GG GS SN NY YK KL LT TF	CA AS SS SL LR RD DG GS SE EA AF FF	RAKFKQLL
34427	CA AV VS SG GN ND DY YK KL LS SF	CA AS ST TV VS SG GE EP PS ST TD DT TQ QY YF	KLGGALQAK
5218	CA AV VW WV VY YG GQ QN NF FV VF	CS SA AS ST TQ QG GA AL LV VL LT TN NE EQ QF FF	GILGFVFTL
18061	CA AA AS SE ET TS SY YD DK KV VI IF	CA AS SI IA AN NR RR RD DS SS SY YE EQ QY YF	RAKFKQLL
34668	CA AG GN ND DY YG GG GA AT TN NK KL LI IF	CA AS SS SL LY YA AG GA AS SE EK KL LF FF	KLGGALQAK
23014	CA AA AS SR RG GY YS ST TL LT TF	CA AS SS SL LG GG GG GN NN NE EQ QF FF	KLGGALQAK
35173	CA AL LS SE EA AP PS SG GY YN NK KL LI IF	CA AS SS SP PF FQ QT TS SG GR RE EE ET TQ QY YF	KLGGALQAK
34305	CA AI IM MD DS SN NY YQ QL LI IW	CA AS SS SP PR RT TG GD DT TG GE EL LF FF	KLGGALQAK
31343	CA AL LK KL LI IK KA AA AG GN NK KL LT TF	CA AS SS SI IR RS ST TT TE EA AF FF	GILGFVFTL
35919	CV VV VR RG GD DT TG GR RR RA AL LT TF	CA AS SS SP PH HT TM MN NT TE EA AF FF	KLGGALQAK
7287	CA AF FM MI IG GA AG GG GT TS SY YG GK KL LT TF	CA AS SS SI IG GY YY YG GY YT TF	GILGFVFTL
