24985	CAT ATD TDR DRA RAG AGS GSA SAR ARQ RQL QLI LIF	KLGGALQAK
26537	CAL ALS LSE SES ESN SNS NSG SGN GNT NTP TPL PLV LVF	GLCTLVAML
34475	CAL ALS LSE SEY EYL YLD LDT DTG TGR GRR RRA RAL ALT LTF	KLGGALQAK
9820	CAL ALS LSG SGA GAD ADS DSG SGA GAG AGS GSY SYQ YQL QLT LTF	RAKFKQLL
15303	CIV IVR VRE REI EIN INN NND NDM DMR MRF	RAKFKQLL
25750	CAG AGG GGG GGS GSQ SQG QGN GNL NLI LIF	GILGFVFTL
22358	CAV AVP VPY PYN YNQ NQG QGG GGK GKL KLI LIF	RAKFKQLL
32359	CAY AYS YSA SAN ANA NAG AGG GGT GTS TSY SYG YGK GKL KLT LTF	GILGFVFTL
62	CAV AVG VGD GDN DNF NFN FNK NKF KFY FYF	AVFDRKSDAK
36058	CAV AVS VSV SVG VGN GND NDY DYK YKL KLS LSF	GLCTLVAML
5869	CAV AVG VGG GGS GSQ SQG QGN GNL NLI LIF	GILGFVFTL
5078	CAV AVG VGD GDN DNF NFN FNK NKF KFY FYF	AVFDRKSDAK
23021	CAL ALI LIR IRG RGG GGG GGQ GQN QNF NFV FVF	KLGGALQAK
1	CAA AAS AST STD TDS DSW SWG WGK GKL KLQ LQF	GILGFVFTL
35661	CAM AMT MTF TFD FDA DAG AGG GGF GFK FKT KTI TIF	KLGGALQAK
32610	CAV AVG VGG GGS GSQ SQG QGN GNL NLI LIF	GILGFVFTL
35971	CAA AAS ASL SLR LRD RDD DDK DKI KII IIF	KLGGALQAK
28465	CAM AMP MPG PGA GAN ANS NSK SKL KLT LTF	KLGGALQAK
2235	CAV AVN VNT NTY TYS YSG SGA GAG AGS GSY SYQ YQL QLT LTF	ELAGIGILTV
4924	CAV AVA VAL ALW LWA WAR ARL RLM LMF	IVTDFSVIK
29776	CAE AEM EME MEG EGG GGS GSY SYI YIP IPT PTF	GILGFVFTL
31435	CAG AGA GAG AGG GGG GGS GSQ SQG QGN GNL NLI LIF	GILGFVFTL
35891	CAV AVH VHL HLN LNA NAG AGG GGT GTS TSY SYG YGK GKL KLT LTF	ELAGIGILTV
