26241	C A V R D S N Y Q L I W	C S A R D G Q G D G T E A F F	KLGGALQAK
16697	C A R E H M D S N Y Q L I W	C A S S Q R P S E V G E L F F	RAKFKQLL
35290	C A S L N D Y K L S F	C A S S L F P D K T Y Q E T Q Y F	KLGGALQAK
35621	C A M S D S N Y Q L I W	C A S R E P V G R N E Q F F	KLGGALQAK
33988	C A V N V D T G R R A L T F	C A T R Y S E N T E A F F	KLGGALQAK
35371	C A V A G K L I F	C S A S D W G D S N Q P Q H F	KLGGALQAK
242	C A V R S N Y Q L I W	C A S S Q Y V F Q G S Y G Y T F	KLGGALQAK
34622	C A E S Y S N T G K L I F	C A S S L A G G E A F F	KLGGALQAK
34956	C A L S E A F S G N T P L V F	C A S R G P V E T Q Y F	KLGGALQAK
5111	C A A R K G T S G S R L T F	C A S S L I F G R Q Y F	KLGGALQAK
35881	C I V R D E I K A A G N K L T F	C A S S I V D A G L Y E Q Y F	KLGGALQAK
34232	C A G T D S W G K L Q F	C A S S Q D Y P R L A G T D T Q Y F	KLGGALQAK
6672	C A V P L G G G S Q G N L I F	C A S S I R A A T E A F F	GILGFVFTL
472	C A V A L S G Y S T L T F	C A S S L S S G T Y E Q Y F	IVTDFSVIK
5622	C A Y S P A A G G T S Y G K L T F	C A S S I G L Y G Y T F	GILGFVFTL
36139	C A V I P S S G G Y N K L I F	C A S S A V L F G T E G D T Q Y F	KLGGALQAK
24509	C A V G A R D Y G Q N F V F	C A S S L G T S G G T G E L F F	RAKFKQLL
35794	C A L S G S P D A G G T S Y G K L T F	C A S K G L A G A P G E L F F	KLGGALQAK
18055	C A E M E G G S Y I P T F	C A S S V T G T F G Y E Q Y F	GLCTLVAML
34150	C A E T L T Y N Q G G K L I F	C A S S H S Q G A T G E L F F	KLGGALQAK
25718	C A L L S Q G P G P G R K A Y L R T	C A S S P L G L A G G P G E D T Q Y F	RAKFKQLL
6604	C A A A Q E T S G S R L T F	C A S S I E G G T T E A F F	KLGGALQAK
147	C A M S P R G Y N K L I F	C A S S Q A G E G T E A F F	RAKFKQLL
7071	C A G Q G V P A G G N T G K L I F	C A S S I V S T D T Q Y F	GILGFVFTL
34423	C A V R Y G A G S Y Q L T F	C A S S V V P G T D N E Q F F	KLGGALQAK
35156	C A E N N T G R R A L T F	C A S S L F D N E Q F F	KLGGALQAK
179	C L L N S G Y S T L T F	C A S S Q D Q G Q D T E A F F	KLGGALQAK
35100	C A V R D R V Y N Q G G K L I F	C A S S S R G E V R T D T Q Y F	KLGGALQAK
23093	C G T E Y P N D Y K L S F	C A S S S T G G G E K D Q P Q H F	GLCTLVAML
78	C A A T S N T G K L I F	C A S R T R E G R T D T Q Y F	RAKFKQLL
27746	C A E N G G G G A D G L T F	C S V G S G D Y E Q Y F	RAKFKQLL
18047	C A E M E G G S Y I P T F	C A S S V R S S M N T E A F F	RAKFKQLL
26665	C A A S E T S Y D K V I F	C S A G G N T E A F F	RAKFKQLL
35640	C A R P S D Y K L S F	C A S S S D S G T E A F F	KLGGALQAK
35379	C A E S G N S G Y A L N F	C S A S S S T G E P E A F F	KLGGALQAK
35591	C A D P N Q A G T A L I F	C A S S P R A S G N T I Y F	KLGGALQAK
5179	C A S M D S N Y Q L I W	C S A R G G G G P E N T G E L F F	KLGGALQAK
32322	C A V N P L E G N T G K L I F	C A S S H L L S T V D Y E Q Y F	KLGGALQAK
33861	C A A T G G G S Q G N L I F	C A S S Y R S Q E T Q Y F	GILGFVFTL
32359	C A Y S A N A G G T S Y G K L T F	C A S S I G I Y G Y T F	GILGFVFTL
2790	C A V S T V P P S G G Y Q K V T F	C A S S W G G G S H Y G Y T F	IVTDFSVIK
5027	C A G G G S Q G N L I F	C A S S Y S Y E Q Y F	GILGFVFTL
35276	C A A T G A Y S G A G S Y Q L T F	C A S T F G G E L F F	KLGGALQAK
14166	C A Y R S F G N N D M R F	C A S S S L D V A G Y E Q Y F	RAKFKQLL
26551	C A V K G N Y G Q N F V F	C S V W S G D S Y N E Q F F	KLGGALQAK
2539	C A E I S G N T P L V F	C A S S A G A A G A N V L T F	KLGGALQAK
34595	C A M R E P A N M N Y G G S Q G N L I F	C A S R P Q G F N Q P Q H F	KLGGALQAK
30546	C V G Y T N A G K S T F	C A S S I R S S Y E Q Y F	RAKFKQLL
2421	C A L S D V E Y G N K L V F	C A S S L D G S N Q P Q H F	KLGGALQAK
378	C A G D P G N T P L V F	C A S S L S G Q G G W D E Q Y F	KLGGALQAK
34797	C A A R L M G T Y K Y I F	C A N R E G G T D T Q Y F	KLGGALQAK
4951	C A I G F G G Y N K L I F	C A S S S G S G S P E M G D E Q F F	KLGGALQAK
35327	C A V D F E T S G S R L T F	C A W R G S T G Q G W G Y G Y T F	KLGGALQAK
5218	C A V W V Y G Q N F V F	C S A S T Q G A L V L T N E Q F F	GILGFVFTL
31928	C G T G V V S G G G A D G L T F	C A S T V F Q G G G Q P Q H F	GILGFVFTL
24698	C A A M E T S Y D K V I F	C A S S F H G G N E K L F F	RAKFKQLL
6674	C A G A S G N T G K L I F	C A S S I R G A Y E Q Y F	GILGFVFTL
35385	C A E S M N Y G G S Q G N L I F	C S A T R T N Y N E Q F F	KLGGALQAK
34565	C A L S E E V D Y G N N R L A F	C A T S L A E S T D T Q Y F	KLGGALQAK
34283	C A L S E L N T G N Q F Y F	C A S S Q R D R G S D T Q Y F	KLGGALQAK
2480	C A V P S N D Y K L S F	C A S T P R G S A G Y T F	KLGGALQAK
35803	C A V N A G F Q K L V F	C A S R G T G I E K L F F	KLGGALQAK
7200	C A G A A G S S N T G K L I F	C A S S T R S A Y E Q Y F	GILGFVFTL
35383	C A V R D Y K N R D D K I I F	C S A T Q G P G E L F F	KLGGALQAK
35980	C A V G G N D Y K L S F	C A S G G T L G M N T E A F F	KLGGALQAK
32363	C A Y S V N A G G T S Y G K L T F	C A S S I G L Y G Y T F	GILGFVFTL
7227	C A V N L G S Y I P T F	C A T S W G G S G E L F F	ELAGIGILTV
36107	C A V K D S N Y Q L I W	C A S S Q S V S G A N V L T F	KLGGALQAK
377	C A V R R G G R N T G T A S K L T F	C A S S L S G A G N T I Y F	KLGGALQAK
35852	C A V R E Y G N K L V F	C A S S I G Q G G N E Q F F	KLGGALQAK
29922	C A F M I G A G G T S Y G K L T F	C A S S F G V H G Y T F	GILGFVFTL
24710	C L V P D G A G G Y N K L I F	C A S S L E T G Y E Q Y F	KLGGALQAK
34626	C A L T G G Y Q K V T F	C A S S L E G Q G V E T Q Y F	KLGGALQAK
31889	C A A S P H S G G Y Q K V T F	C A S S V R S T D T Q Y F	GILGFVFTL
20662	C A D S G G S A D G L T F	C A S S L R D G S E A F F	RAKFKQLL
6550	C A V R S M D S N Y Q L I W	C A S T R V G S T E A F F	KLGGALQAK
22177	C A T R M N R D D K I I F	C A S S L R D G S E A F F	RAKFKQLL
5257	C A D S G G G A D G L T F	C S A R T G N G E K L F F	RAKFKQLL
38429	C A V P L S N D Y K L S F	C A S S R Q G E N I Q Y F	ELAGIGILTV
34924	C A A S L R N N N A R L M F	C A T I G Q G A S N Y G Y T F	KLGGALQAK
