442	CAS ASG SGD GDE DEN ENT NTG TGE GEL ELF LFF	YLQPRTFLL
207	CAS AST STR TRG RGA GAE AEG EGG GGS GSY SYN YNS NSP SPL PLH LHF	TTDPSFLGRY
174	CAS ASR SRT RTA TAG AGN GNE NEQ EQY QYF	TTDPSFLGRY
353	CAS ASS SSY SYS YSS SSR SRR RRV RVY VYT YTG TGE GEL ELF LFF	TTDPSFLGRY
491	CAS ASN SNE NEE EEN ENT NTG TGE GEL ELF LFF	YLQPRTFLL
335	CSA SAR ARI RIL ILA LAG AGD GDT DTG TGE GEL ELF LFF	TTDPSFLGRY
21	CAS ASR SRG RGG GGV GVG VGA GAN ANN NNE NEQ EQF QFF	LTDEMIAQY
121	CAS ASS SSQ SQD QDL DLG LGS GSN SNQ NQP QPQ PQH QHF	LTDEMIAQY
42	CAS ASR SRE REG EGR GRA RAY AYN YNE NEQ EQF QFF	LTDEMIAQY
187	CAS ASS SSL SLT LTQ TQG QGL GLN LNT NTE TEA EAF AFF	TTDPSFLGRY
277	CAS ASS SSE SEW EWG WGA GAT ATE TEA EAF AFF	TTDPSFLGRY
257	CAS ASS SSL SLS LSS SSP SPQ PQE QET ETQ TQY QYF	TTDPSFLGRY
590	CAS ASS SSV SVG VGG GGS GSE SEK EKN KNT NTE TEA EAF AFF	YLQPRTFLL
577	CAI AIS ISG SGR GRQ RQG QGD GDT DTG TGE GEL ELF LFF	YLQPRTFLL
424	CAS ASS SSV SVK VKP KPD PDS DSP SPA PAE AEA EAF AFF	YLQPRTFLL
127	CAS ASS SSL SLS LSQ SQG QGS GSQ SQY QYF	LTDEMIAQY
407	CAS ASS SSI SIS ISG SGF GFD FDG DGY GYT YTF	YLQPRTFLL
397	CAS ASR SRL RLG LGT GTG TGE GEV EVG VGE GEL ELF LFF	YLQPRTFLL
159	CAS AST STD TDG DGG GGF GFG FGY GYT YTF	TTDPSFLGRY
149	CAS ASS SSY SYM YMG MGE GEG EGE GEQ EQF QFF	TTDPSFLGRY
560	CAS AST STG TGA GAD ADT DTQ TQY QYF	YLQPRTFLL
261	CAS ASS SSS SSS SSA SAE AES ESS SSY SYN YNE NEQ EQF QFF	TTDPSFLGRY
522	CAS AST STL TLR LRD RDR DRG RGN GNQ NQP QPQ PQH QHF	YLQPRTFLL
300	CAS ASS SSL SLT LTQ TQG QGF GFT FTE TEA EAF AFF	TTDPSFLGRY
500	CSA SAH AHR HRD RDQ DQN QNT NTG TGE GEL ELF LFF	YLQPRTFLL
134	CAS ASS SSF SFP FPL PLG LGG GGY GYG YGY GYT YTF	TTDPSFLGRY
131	CAS ASS SSM SMP MPN PNA NAN ANT NTG TGE GEL ELF LFF	LTDEMIAQY
550	CAS ASS SSL SLG LGP GPE PEA EAF AFF	YLQPRTFLL
58	CAS ASS SSP SPR PRD RDR DRV RVN VNT NTG TGE GEL ELF LFF	LTDEMIAQY
276	CAS ASS SSH SHD HDG DGY GYQ YQP QPQ PQH QHF	TTDPSFLGRY
548	CSA SAR ARD RDS DSM SMA MAQ AQN QNT NTG TGE GEL ELF LFF	YLQPRTFLL
